"eAlertSlNo	ABC123"
"SRN	1020102"
"SiteID	1111"
"HCFName	Ospedale Pianta"
"Modality	MRI_WITH"
"ModalityCfg	MRI_WITH"
"DateTime	AlertType	AlertsSent"
"2025-06-16 00:12:25,637 	 SMS-Filiale 	 2025-06-15T22:12:24+02:00, Ospedale Pianta, 1111,[1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale, Valore misurato:90.3 %"
"2025-06-16 00:12:29,459 	 Email-Customer 	 [1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale"
"2025-06-16 00:12:29,528 	 Email-Filiale 	 [1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale"
"2025-06-16 01:11:52,638 	 SMS-Filiale 	 2025-06-15T23:11:51+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 01:11:56,584 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 01:11:56,591 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 01:11:56,613 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 01:11:56,619 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 02:11:19,306 	 SMS-Filiale 	 2025-06-16T00:11:18+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 02:11:23,198 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 02:11:23,207 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 02:11:23,207 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 02:11:23,208 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 02:11:23,208 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 02:11:23,224 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 03:10:46,695 	 SMS-Filiale 	 2025-06-16T01:10:45+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 03:10:50,699 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 03:10:50,705 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 03:10:50,750 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 03:10:50,754 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 04:10:15,331 	 SMS-Filiale 	 2025-06-16T02:10:14+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 04:10:19,211 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 04:10:19,217 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 04:10:19,279 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 04:10:19,284 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 05:09:43,977 	 SMS-Filiale 	 2025-06-16T03:09:43+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 05:09:47,872 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 05:09:47,878 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 05:09:48,050 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 05:09:48,055 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 06:09:12,324 	 SMS-Filiale 	 2025-06-16T04:09:11+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 06:09:16,330 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 06:09:16,335 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 06:09:16,377 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 06:09:16,382 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 07:08:40,160 	 SMS-Filiale 	 2025-06-16T05:08:39+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 07:08:44,275 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 07:08:44,280 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 07:08:44,299 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 07:08:44,304 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 08:08:08,512 	 SMS-Filiale 	 2025-06-16T06:08:07+02:00, Ospedale Pianta, 1111,[0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 08:08:12,390 	 Email-Customer 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 08:08:12,395 	 Email-Customer 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 08:08:12,476 	 Email-Filiale 	 [0] Promemoria: una o più condizioni sono ancora al di fuori della soglia specificata da Filiale"
"2025-06-16 08:08:12,482 	 Email-Filiale 	 [6] L'umidità del locale tecnico è ancora al di fuori della soglia definita da Filiale"
"2025-06-16 08:29:12,224 	 SMS-Filiale 	 2025-06-16T06:29:11+02:00, Ospedale Pianta, 1111,[1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale, Valore misurato:90.1 %"
"2025-06-16 08:29:16,186 	 Email-Customer 	 [1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale"
"2025-06-16 08:29:16,208 	 Email-Filiale 	 [1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale"
"2025-06-16 08:52:05,441 	 SMS-Filiale 	 2025-06-16T06:52:04+02:00, Ospedale Pianta, 1111,[1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale, Valore misurato:90.4 %"
"2025-06-16 08:52:09,333 	 Email-Customer 	 [1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale"
"2025-06-16 08:52:09,355 	 Email-Filiale 	 [1] L'umidità del locale tecnico è al di fuori della soglia definita da Filiale"
"2025-06-16 09:08:36,316 	 SMS-Filiale 	 2025-06-16T07:08:34+02:00, Ospedale Pianta, 1111,[10] Tutto ok"
"2025-06-16 09:08:39,103 	 Email-Customer 	 [10] Tutto ok"
"2025-06-16 09:08:40,150 	 Email-Filiale 	 [10] Tutto ok"
